followup_day,n_control,n_hls,control_mean,hls_mean,delta_hls_minus_control,auroc_lower_deltaRAG_is_hls,welch_t,welch_p
7.0,9,10,0.0,-4.878545888264974,-4.878545888264974,0.5444444444444444,-0.6755157995269474,0.511246115567805
14.0,21,22,0.0,-10.985279834631715,-10.985279834631715,0.6147186147186148,-1.7276196344403334,0.09340115966525377
28.0,10,10,3.552713678800501e-16,-2.764680099487305,-2.7646800994873053,0.52,-0.48200653683319894,0.6362499859475388
90.0,70,76,-2.4361465226060578e-15,-2.34827501538955,-2.348275015389548,0.5067669172932331,-0.2752953191812502,0.7834848360195282
97.0,7,6,0.0,5.155923207600911,5.155923207600911,0.4285714285714286,0.3542961870184884,0.730048984735171
104.0,20,20,1.4210854715202005e-15,4.737269719441734,4.737269719441732,0.44999999999999996,0.549902677524992,0.5856062988628382
118.0,4,4,3.552713678800501e-15,-23.490233739217118,-23.49023373921712,0.75,-1.131039197948317,0.33655572856626914
180.0,25,23,2.2737367544323206e-15,9.838881137866327,9.838881137866325,0.43826086956521737,0.6138769615722809,0.5423491573583183
