file,n_rows,mae,rmse,pearson_r,pearson_p,spearman_r,spearman_p,adc,adc_p,r2,split,fold
outputs/allrats_c123_allages/retfound_lora_natureoct_biomarkers/control_test_results_fold0.csv,192,35.42092672983805,53.696408131090536,0.865570289635686,5.7291359171346245e-59,0.8815785172710425,7.440541283410305e-64,-0.5210212615446879,9.379009058271658e-15,0.7233972412247982,control,0
outputs/allrats_c123_allages/retfound_lora_natureoct_biomarkers/rag_experimental_results_fold0.csv,602,34.57269674915808,53.09784369549191,0.8708735502582898,3.093090173152576e-187,0.8813518602117564,1.5367927724242282e-197,-0.5569417487238978,2.4279616382421967e-50,0.7318735923395876,stress,0
outputs/allrats_c123_allages/retfound_lora_natureoct_biomarkers/control_test_results_fold1.csv,193,33.065408222415904,50.59967443661936,0.842429193165557,3.452731140453941e-53,0.8507145555317523,3.0185662605969714e-55,-0.5257742220110904,4.113910767657151e-15,0.6986111871387366,control,1
outputs/allrats_c123_allages/retfound_lora_natureoct_biomarkers/rag_experimental_results_fold1.csv,602,36.1936884781847,54.75078413550042,0.8637755441749377,9.346404523231472e-181,0.8696526727026499,4.2857327146343124e-186,-0.598527137160153,8.854808406037103e-60,0.714920159544052,stress,1
