scope,subset,score,biomarker,days,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_spearman_r,abs_pearson_r,spearman_q_bh,pearson_q_bh
day_180,all,delta_RAG,delta_temporal_choroidal_thickness_mm,180,11,-0.6701634207151375,0.0240456433846951,-0.6849386474658347,0.0200397395413737,0.6849386474658347,0.6701634207151375,0.6744381453626482,0.53383487867934
day_180,all,cohort_day_centered_delta_RAG,delta_temporal_choroidal_thickness_mm,180,11,-0.6701634207151375,0.0240456433846951,-0.6849386474658347,0.0200397395413737,0.6849386474658347,0.6701634207151375,0.6744381453626482,0.53383487867934
day_180,all,delta_RAG,delta_nasal_retinal_thickness_mm,180,11,-0.664117725712507,0.0258375244613494,-0.5922566618516668,0.0548808352028956,0.5922566618516668,0.664117725712507,0.6744381453626482,0.53383487867934
day_180,all,cohort_day_centered_delta_RAG,delta_nasal_retinal_thickness_mm,180,11,-0.664117725712507,0.0258375244613494,-0.5922566618516668,0.0548808352028956,0.5922566618516668,0.664117725712507,0.6744381453626482,0.53383487867934
recovery_97_180,controls_only,cohort_day_centered_delta_RAG,delta_temporal_choroidal_thickness_mm,"97,104,118,180",15,-0.4988556612441519,0.0583653116751203,-0.54919586982298,0.0339693376126206,0.54919586982298,0.4988556612441519,0.6744381453626482,0.567631266487445
day_104,all,cohort_day_centered_delta_RAG,delta_temporal_retinal_thickness_mm,104,12,-0.4121878957745631,0.1830304391542534,-0.4732672611247145,0.1201793474926851,0.4732672611247145,0.4121878957745631,0.7203083319705083,0.783177547123215
day_104,all,delta_RAG,delta_temporal_retinal_thickness_mm,104,12,-0.4121878957745629,0.1830304391542537,-0.4732672611247145,0.1201793474926851,0.4732672611247145,0.4121878957745629,0.7203083319705083,0.783177547123215
recovery_97_180,hls_only,cohort_day_centered_delta_RAG,delta_IOP,"97,104,118,180",15,0.3345955390430696,0.2228509438152263,0.4700627435540786,0.0770422267977096,0.4700627435540786,0.3345955390430696,0.6744381453626482,0.783177547123215
day_14,all,delta_RAG,delta_temporal_choroidal_thickness_mm,14,14,-0.4247247409432738,0.1300869458017347,-0.4620464842145856,0.0962462512388866,0.4620464842145856,0.4247247409432738,0.6744381453626482,0.783177547123215
day_14,all,cohort_day_centered_delta_RAG,delta_temporal_choroidal_thickness_mm,14,14,-0.4247247409432738,0.1300869458017347,-0.4620464842145856,0.0962462512388866,0.4620464842145856,0.4247247409432738,0.6744381453626482,0.783177547123215
